timestamp_utc,symbol,session,direction,action,price,qty,sl,tp,risk_per_unit,fee_r,order_id,equity_before,equity_after,notes
2026-02-14 08:16:14,CYS/USDT:USDT,london,long,EXIT,0.46110000,11488.000000,,,,,17e35f3d-d795-4a5a-b23e-9a4602ee791c,,1053.38,WIN [scale: unfilled]
2026-02-14 16:10:03,IRYS/USDT:USDT,ny,long,ENTRY,0.04292900,72460.000000,0.04265300,0.04334300,0.00027600,0.0622,56822a55-cb84-4c6a-ac09-b958321787fd,1000.00,,fc_high=0.042789 fc_low=0.042517
2026-02-14 16:10:03,IRYS/USDT:USDT,ny,long,ENTRY,0.04278900,73520.000000,0.04265300,0.04299300,0.00013600,0.1258,50b5b447-768b-44b4-a13a-e4319652fca6,1000.00,,SCALE-IN limit @ FC boundary
2026-02-14 16:10:05,CLO/USDT:USDT,ny,short,ENTRY,0.08326000,17937.000000,0.08438000,0.08159000,0.00111500,0.0299,2ce48f00-4ebf-44dd-9264-6c7daeca5f20,1000.00,,fc_high=0.08469 fc_low=0.08406
2026-02-14 16:10:06,KITE/USDT:USDT,ny,short,ENTRY,0.18977000,8064.000000,0.19225000,0.18605000,0.00248000,0.0306,7a468374-4bb8-44e3-9a6a-8ea675646347,1000.00,,fc_high=0.19316 fc_low=0.19134
2026-02-14 16:14:12,CLO/USDT:USDT,ny,short,EXIT,0.08168000,17937.000000,,,,,2ce48f00-4ebf-44dd-9264-6c7daeca5f20,,1018.26,WIN
2026-02-14 16:16:18,IRYS/USDT:USDT,ny,long,EXIT,0.04256900,72460.000000,,,,,56822a55-cb84-4c6a-ac09-b958321787fd,,967.43,LOSS [+scale: -1.618R]
2026-02-14 17:04:33,KITE/USDT:USDT,ny,short,EXIT,0.18617000,8064.000000,,,,,7a468374-4bb8-44e3-9a6a-8ea675646347,,994.70,WIN
2026-02-15 00:10:03,ACU/USDT:USDT,asia,short,ENTRY,0.11074000,32882.000000,0.11135000,0.10983000,0.00060500,0.0732,0dcaac12-ed0d-461c-984e-a2aa3827bb38,994.70,,fc_high=0.11175 fc_low=0.11094
2026-02-15 00:10:03,ACU/USDT:USDT,asia,short,ENTRY,0.11094000,24560.000000,0.11135000,0.10983000,0.00040500,0.1096,58ad5fe4-74e1-4d54-9c85-c1a43cd8f5dc,994.70,,SCALE-IN limit @ FC boundary
2026-02-15 00:10:04,CLO/USDT:USDT,asia,short,ENTRY,0.08629000,31830.000000,0.08691000,0.08535000,0.00062500,0.0552,4c659717-6dcb-43e3-b28c-e0c716602d5b,994.70,,fc_high=0.08745 fc_low=0.08638
2026-02-15 00:15:14,CLO/USDT:USDT,asia,short,EXIT,0.08702000,31830.000000,,,,,4c659717-6dcb-43e3-b28c-e0c716602d5b,,945.55,LOSS
2026-02-15 00:22:19,ACU/USDT:USDT,asia,short,EXIT,0.11167000,32882.000000,,,,,0dcaac12-ed0d-461c-984e-a2aa3827bb38,,890.76,LOSS [+scale: -1.780R]
2026-02-15 08:10:03,MYX/USDT:USDT,london,short,ENTRY,2.11300000,1176.000000,2.13000000,2.08800000,0.01700000,0.0497,794abf80-0f11-4b89-ad29-c070424fbd45,1000.00,,fc_high=2.142 fc_low=2.118
2026-02-15 08:10:03,MYX/USDT:USDT,london,short,ENTRY,2.11800000,588.000000,2.13000000,2.08800000,0.01700000,0.0497,f4199191-5456-49c4-982b-244b5bfecb8f,1000.00,,SCALE-OUT conditional stop @ FC boundary
2026-02-15 08:10:04,CYS/USDT:USDT,london,short,ENTRY,0.51230000,3921.000000,0.51740000,0.50460000,0.00510000,0.0402,6d802f34-0b5a-4e70-b0f3-63231fa71ded,1000.00,,fc_high=0.52 fc_low=0.5148
2026-02-15 08:10:05,CYS/USDT:USDT,london,short,ENTRY,0.51480000,1960.000000,0.51740000,0.50460000,0.00510000,0.0402,65611a38-a282-4b03-9f11-e08bc374a472,1000.00,,SCALE-OUT conditional stop @ FC boundary
2026-02-15 08:10:06,WHITEWHALE/USDT:USDT,london,short,ENTRY,0.08245000,52630.000000,0.08283000,0.08188000,0.00038000,0.0868,35e4f6a2-0c04-4a34-9834-a1eeef0abf17,1000.00,,fc_high=0.08312 fc_low=0.08254
2026-02-15 08:10:06,WHITEWHALE/USDT:USDT,london,short,ENTRY,0.08254000,26310.000000,0.08283000,0.08188000,0.00038000,0.0868,e33a56f2-3307-4bd2-a2f9-61cc87e24184,1000.00,,SCALE-OUT conditional stop @ FC boundary
