time,pair,session,direction,entry,sl,tp,risk_per_unit,dollar_risk,qty,fee_r,ob_h,ob_l,ob_o,ob_c
2026-02-22T00:05:32.353825+00:00,ATOM/USDT:USDT,asia,short,2.3037,2.3133,2.2845000000000004,0.009599999999999831,0.8098056118140241,84.35475123062899,0.096,2.3133,2.3039,2.3078,2.311
2026-02-22T00:10:34.787659+00:00,CYBER/USDT:USDT,asia,short,0.6216,0.648,0.5688000000000001,0.02639999999999998,5.381980916,203.86291348484863,0.0094,0.648,0.5754,0.5796,0.6242
2026-02-22T00:10:35.902663+00:00,AZTEC/USDT:USDT,asia,long,0.034314,0.033912,0.035117999999999996,0.0004019999999999996,2.2698615088987566,5646.421663927261,0.0341,0.03456,0.033912,0.034329,0.034044
2026-02-22T00:35:31.851404+00:00,JTO/USDT:USDT,asia,long,0.3066,0.3058,0.3081999999999999,0.0007999999999999674,0.4975171437651461,621.896429706458,0.1533,0.3113,0.3058,0.3092,0.3059
2026-02-22T00:35:32.555470+00:00,ACU/USDT:USDT,asia,long,0.11209,0.11143,0.11340999999999998,0.0006599999999999939,1.122709197338557,1701.0745414220717,0.0679,0.1122,0.11143,0.11198,0.11155
2026-02-22T00:40:32.182509+00:00,ME/USDT:USDT,asia,short,0.12625,0.12647,0.12581,0.00021999999999999797,0.3066723529150071,1393.9652405227723,0.2295,0.12647,0.12611,0.1264,0.12647
2026-02-22T00:50:30.725475+00:00,HMSTR/USDT:USDT,asia,long,0.0001746,0.0001742,0.00017539999999999995,3.999999999999826e-07,0.4064368089484359,1016092.0223711339,0.1746,0.0001751,0.0001742,0.0001748,0.0001745
2026-02-22T01:00:38.300283+00:00,KITE/USDT:USDT,asia,long,0.22511,0.22311,0.22911,0.0020000000000000018,1.5750133485140612,787.5066742570299,0.045,0.22912,0.22311,0.22865,0.22421
2026-02-22T01:20:03.794538+00:00,C98/USDT:USDT,asia,short,0.026384,0.026462,0.026267000000000006,7.799999999999821e-05,0.5141063726306736,6591.107341419043,0.1353,0.026462,0.026345,0.026378,0.026456
2026-02-22T01:20:32.975762+00:00,HMSTR/USDT:USDT,asia,short,0.0001743,0.0001748,0.00017330000000000004,4.99999999999985e-07,0.49885191077451185,997703.8215490535,0.1394,0.0001748,0.0001738,0.0001743,0.0001747
2026-02-22T01:20:33.703884+00:00,ENS/USDT:USDT,asia,short,6.633,6.654,6.591,0.020999999999999908,0.5505646461655337,26.217364103120765,0.1263,6.654,6.636,6.643,6.646
2026-02-22T01:40:32.188723+00:00,ICP/USDT:USDT,asia,long,2.171,2.167,2.179,0.0040000000000000036,0.3186106194527871,79.65265486319672,0.2171,2.174,2.167,2.172,2.168
2026-02-22T02:05:06.272321+00:00,SNX/USDT:USDT,asia,long,0.3972,0.3921,0.4023,0.005099999999999993,2.1971282608685776,430.80946291540795,0.0312,0.4023,0.3921,0.4006,0.3935
2026-02-22T02:05:32.990701+00:00,INJ/USDT:USDT,asia,long,3.712,3.704,3.728,0.008000000000000007,0.3687877557543107,46.0984694692888,0.1856,3.735,3.704,3.732,3.708
2026-02-22T02:10:32.448980+00:00,DYDX/USDT:USDT,asia,long,0.09888,0.09852,0.0996,0.0003599999999999992,0.6294477943398045,1748.4660953883495,0.1099,0.09883,0.09852,0.09872,0.09861
2026-02-22T02:10:32.898732+00:00,ENS/USDT:USDT,asia,long,6.661,6.642,6.698999999999998,0.01899999999999924,0.4931509116841118,25.95531114127008,0.1402,6.66,6.642,6.648,6.644
2026-02-22T02:10:33.639135+00:00,KAS/USDT:USDT,asia,long,0.03097,0.03088,0.03115,8.99999999999998e-05,0.5024200670351943,5582.445189279948,0.1376,0.03096,0.03088,0.03093,0.0309
2026-02-22T02:25:32.843959+00:00,KITE/USDT:USDT,asia,short,0.22498,0.2261,0.22274000000000005,0.0011199999999999821,0.8411313261281758,751.0101126144547,0.0804,0.2261,0.21934,0.22045,0.22354
2026-02-22T02:35:32.732375+00:00,CLO/USDT:USDT,asia,short,0.08724,0.0875,0.08672,0.00025999999999999635,0.509438507133418,1959.3788735900966,0.1342,0.0875,0.08695,0.08705,0.08746
2026-02-22T02:40:31.539301+00:00,ARC/USDT:USDT,asia,short,0.07633,0.07722,0.07454999999999999,0.0008900000000000019,1.989156057783314,2235.006806498101,0.0343,0.07722,0.07662,0.07697,0.07717
2026-02-22T02:50:31.036542+00:00,BIO/USDT:USDT,asia,short,0.02736,0.02741,0.027259999999999996,5.000000000000143e-05,0.31145692555921944,6229.138511184211,0.2189,0.02741,0.02708,0.02719,0.02738
2026-02-22T02:55:31.445280+00:00,ENSO/USDT:USDT,asia,long,1.928,1.9244,1.9351999999999996,0.0035999999999998256,0.31643885162612573,87.8996810072614,0.2142,1.952,1.9244,1.9479,1.9269
2026-02-22T02:55:32.183872+00:00,ENA/USDT:USDT,asia,long,0.1048,0.10449,0.10542000000000001,0.0003100000000000047,0.5012965777139389,1617.0857345610686,0.1352,0.10515,0.10449,0.10498,0.10469
